STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SN02,SN02_ATTRIBUTES,SN03,SN03_ATTRIBUTES,SN12,SN12_ATTRIBUTES,SN52,SN52_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,SX02,SX02_ATTRIBUTES,SX03,SX03_ATTRIBUTES,SX12,SX12_ATTRIBUTES,SX52,SX52_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,WT05,WT05_ATTRIBUTES
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,1/1/2009,,,,,,,0.18,",,N",,,,,,,,,2.2,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,1/15/2009,14,",,N",,,0.86,",,N",,,,,,,,,,,,,6.5,",,N",,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,1/16/2009,,,,,,,0,"T,,N",,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,1/17/2009,,,,,,,0,"T,,N",,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,1/18/2009,,,,,,,0.11,",,N",,,,,,,,,3,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,1/19/2009,,,,,,,0.02,",,N",,,,,,,,,0.9,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,1/20/2009,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,1/21/2009,,,,,,,0.04,",,N",,,,,,,,,2,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,1/22/2009,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,1/23/2009,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,1/24/2009,,,,,,,0,"T,,N",,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,1/25/2009,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,1/26/2009,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,1/27/2009,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,1/28/2009,,,,,,,0.21,",,N",,,,,,,,,2.9,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,2/2/2009,5,",,N",,,0.24,",,N",,,,,,,,,,,,,8,",,N",,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,2/3/2009,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,2/4/2009,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,2/5/2009,,,,,,,0.07,",,N",,,,,,,,,2.6,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,2/6/2009,,,,,,,0,"T,,N",,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,2/9/2009,3,",,N",,,0,",,N",,,,,,,,,,,,,3,",,N",,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,2/10/2009,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,2/11/2009,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,2/12/2009,,,,,,,0.17,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,2/13/2009,,,,,,,0.23,",,N",,,,,,,,,0.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,2/14/2009,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,2/15/2009,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,2/16/2009,,,,,,,0,"T,,N",,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,2/17/2009,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,2/18/2009,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,2/19/2009,,,,,,,0.17,",,N",,,,,,,,,2,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,2/20/2009,,,,,,,0.03,",,N",,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,2/21/2009,,,,,,,0,"T,,N",,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,2/22/2009,,,,,,,0.03,",,N",,,,,,,,,0.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,
